author_type,district,floor,floors_count,kitchen_meters,living_meters,price,rooms_count,street,total_meters,underground,year_of_construction
developer,Заельцовский,4.0,29.0,5.6,16.6,11435294.0,1.0,Сухарная ,34.9,Площадь Гарина-Михайловского,2026
real_estate_agent,Первомайский,1.0,17.0,11.2,9.0,3150000.0,1.0, Одоевского,20.2,Речной вокзал,2013
real_estate_agent,Октябрьский,5.0,10.0,7.804000000000001,31.216000000000005,2800000.0,1.0, В. Высоцкого,39.02,Золотая Нива,2025
developer,Октябрьский,9.0,9.0,7.4,15.5,9305882.0,1.0,Тополевая ,32.23,Березовая Роща,2027
real_estate_agent,Октябрьский,3.0,10.0,6.6000000000000005,26.400000000000002,3400000.0,1.0, Татьяны Снежиной,33.0,Золотая Нива,2011
real_estate_agent,Октябрьский,6.0,10.0,2.7,26.0,3550000.0,1.0, Виталия Потылицына,39.0,Золотая Нива,2017
developer,Ленинский,12.0,14.0,12.7,16.1,7303000.0,1.0, Забалуева,28.8,Студенческая,2026
real_estate_agent,Ленинский,5.0,17.0,17.0,25.0,4500000.0,1.0, Забалуева,47.0,Площадь Маркса,2015
real_estate_agent,Кировский,16.0,18.0,6.0,18.0,3950000.0,1.0,Пригородная ,24.0,Площадь Маркса,2024
developer,Заельцовский,14.0,24.0,3.0,18.0,7350000.0,1.0,Красный проспект,32.3,Заельцовская,2028
real_estate_agent,Октябрьский,17.0,29.0,4.0,15.0,4500000.0,1.0,Пролетарская ,28.97,Золотая Нива,2026
unknown,Центральный,3.0,29.0,3.0,17.1,3990000.0,1.0, Николая Островского,20.22,Гагаринская,2026
developer,Дзержинский,2.0,25.0,5.922000000000001,23.688000000000002,6084753.0,1.0,проспект Дзержинского,29.61,Березовая Роща,2027
real_estate_agent,Ленинский,10.0,27.0,15.0,20.0,4600000.0,1.0,Волховская ,41.0,Площадь Маркса,2016
real_estate_agent,Кировский,15.0,17.0,6.6,21.7,4000000.0,1.0, Петухова,38.4,Площадь Маркса,2017
real_estate_agent,Ленинский,8.0,15.0,5.6,13.1,5390000.0,1.0, Костычева,26.7,Площадь Маркса,2027
real_estate_agent,Заельцовский,6.0,18.0,4.0,23.63,4850000.0,1.0, Аэропорт,27.63,Заельцовская,2022
real_estate_agent,Октябрьский,1.0,10.0,6.0,14.6,4050000.0,1.0,2-я Обская ,25.6,Спортивная,2011
developer,Ленинский,20.0,30.0,10.839999999999998,14.9,6703000.0,1.0, Забалуева,25.74,Студенческая,2026
real_estate_agent,Заельцовский,7.0,10.0,10.0,13.0,4350000.0,1.0,Сухарная ,23.0,Площадь Гарина-Михайловского,2021
real_estate_agent,Заельцовский,17.0,23.0,10.0,15.370000000000001,4100000.0,1.0,Светлановская ,25.37,Заельцовская,2025
developer,Ленинский,8.0,15.0,5.0,12.7,5350000.0,1.0, Костычева,26.0,Площадь Маркса,2027
real_estate_agent,Ленинский,2.0,15.0,5.6000000000000005,22.400000000000002,7300000.0,1.0, Забалуева,28.0,Студенческая,2026
real_estate_agent,Кировский,2.0,10.0,10.0,30.0,4150000.0,1.0, Виктора Шевелева,40.0,Студенческая,2017
developer,Заельцовский,22.0,29.0,7.3,13.1,7941176.0,1.0,Сухарная ,27.47,Площадь Гарина-Михайловского,2026
real_estate_agent,Октябрьский,12.0,25.0,6.0,24.48,7500000.0,1.0,Ипподромская ,30.48,Октябрьская,2024
real_estate_agent,Ленинский,17.0,17.0,4.0,17.0,4300000.0,1.0, Немировича-Данченко,30.0,Площадь Маркса,2017
developer,Кировский,18.0,26.0,3.4,14.6,5270000.0,1.0, Аникина,27.27,Студенческая,2026
real_estate_agent,Кировский,2.0,3.0,9.0,27.0,4700000.0,1.0, Серафимовича,36.0,Площадь Маркса,2013
developer,Кировский,12.0,26.0,3.4,14.6,5400000.0,1.0, Аникина,27.73,Студенческая,2026
real_estate_agent,Октябрьский,6.0,10.0,8.5,45.0,4500000.0,1.0, Плющихинская,58.5,Золотая Нива,2024
real_estate_agent,Октябрьский,14.0,17.0,10.0,11.100000000000001,4900000.0,1.0,Закаменский мкр,21.1,Березовая Роща,2024
developer,Железнодорожный,5.0,16.0,41.099999999999994,42.0,14670000.0,1.0, Прибрежная,83.1,Площадь Гарина-Михайловского,2025
homeowner,Дзержинский,26.0,30.0,3.6,14.7,6000000.0,1.0,Закаменский мкр,27.0,Березовая Роща,2019
developer,Дзержинский,3.0,29.0,5.5,22.0,5500000.0,1.0,Закаменский мкр,27.5,Березовая Роща,2025
developer,Заельцовский,16.0,29.0,5.1,18.6,9117647.0,1.0,Сухарная ,29.98,Площадь Гарина-Михайловского,2026
homeowner,Калининский,4.0,5.0,3.5200000000000005,14.080000000000002,2359000.0,1.0, Сухановская,17.6,Заельцовская,2017
developer,Заельцовский,20.0,20.0,7.8,14.0,9900000.0,1.0,Красный проспект,33.9,Заельцовская,2026
real_estate_agent,Октябрьский,5.0,10.0,6.0,20.0,3650000.0,1.0, Татьяны Снежиной,36.7,Золотая Нива,2020
real_estate_agent,Первомайский,2.0,17.0,5.0,8.4,2400000.0,1.0, Твардовского,18.4,Спортивная,2013
developer,Центральный,11.0,29.0,2.0,14.0,5640930.0,1.0, Николая Островского,20.97,Гагаринская,2026
realtor,Заельцовский,13.0,21.0,5.0,20.0,6500000.0,1.0, Дуси Ковальчук,30.0,Заельцовская,2022
real_estate_agent,Ленинский,6.0,10.0,5.0,12.0,2750000.0,1.0,Хилокская ,26.8,Площадь Маркса,2015
developer,Железнодорожный,24.0,24.0,12.699999999999996,21.6,8350000.0,1.0, Прибрежная,34.3,Площадь Гарина-Михайловского,2025
realtor,Заельцовский,20.0,25.0,4.0,15.0,5200000.0,1.0,Светлановская ,26.9,Заельцовская,2023
real_estate_agent,Калининский,2.0,3.0,5.0,19.0,2845000.0,1.0, Богдана Хмельницкого,24.3,Заельцовская,1968
developer,Кировский,13.0,26.0,3.4,14.6,5370000.0,1.0, Аникина,27.73,Студенческая,2026
real_estate_agent,Железнодорожный,22.0,25.0,4.0,17.0,4980000.0,1.0,Железнодорожная ,23.7,Гагаринская,2019
realtor,Калининский,4.0,17.0,3.0,14.0,3490000.0,1.0, Фадеева,23.0,Заельцовская,2015
real_estate_agent,Ленинский,18.0,18.0,5.032,20.128,5540000.0,1.0, Костычева,25.16,Площадь Маркса,2026
real_estate_agent,Ленинский,9.0,15.0,5.5280000000000005,22.112000000000002,7900000.0,1.0,Горская ,27.64,Спортивная,2015
real_estate_agent,Кировский,15.0,17.0,7.359999999999999,29.439999999999998,3790000.0,1.0, Петухова,36.8,Площадь Маркса,2025
developer,Кировский,11.0,26.0,3.4,14.6,6080000.0,1.0, Немировича-Данченко,27.73,Студенческая,2028
real_estate_agent,Октябрьский,4.0,20.0,5.2,10.2,4850000.0,1.0,Вилюйская ,27.7,Речной вокзал,2020
real_estate_agent,Калининский,13.0,16.0,5.0,8.6,3800000.0,1.0, Фадеева,27.9,Заельцовская,2017
developer,Ленинский,2.0,15.0,5.0,11.9,5928700.0,1.0, Серафимовича,27.7,Площадь Маркса,2026
real_estate_agent,Заельцовский,15.0,19.0,8.0,11.0,5550000.0,1.0, Вавилова,25.0,Заельцовская,2011
homeowner,Ленинский,16.0,16.0,6.0,18.0,4500000.0,1.0,63/1,25.8,Студенческая,2006
developer,Центральный,28.0,30.0,9.114,36.456,11440000.0,1.0, Мичурина,45.57,Сибирская,2027
real_estate_agent,Октябрьский,8.0,19.0,8.0,17.3,4550000.0,1.0, Михаила Кулагина,25.3,Золотая Нива,2018
developer,Кировский,18.0,26.0,3.4,14.6,4950000.0,1.0, Немировича-Данченко,27.27,Студенческая,2028
real_estate_agent,Калининский,5.0,23.0,5.0,13.0,4600000.0,1.0,Игарская ,29.5,Заельцовская,2017
