floor,floors_count,price,rooms_count,total_meters,year_of_construction
11,27,5800000,1.0,27.8,2014
17,18,5850000,1.0,29.6,2016
15,22,5875000,1.0,23.5,2026
17,21,5870000,1.0,31.1,2019
14,19,5900000,1.0,34.0,2012
13,13,5900000,1.0,22.4,2021
6,13,5999000,1.0,24.5,2020
7,9,5950000,1.0,25.0,2007
3,8,6000000,1.0,26.5,2024
14,24,6000000,1.0,25.26,2025
16,26,6000000,1.0,28.3,2022
11,24,6000000,1.0,25.2,2025
4,26,6050000,1.0,35.0,2021
2,25,6100000,1.0,27.7,2007
17,25,6100000,1.0,30.0,2025
14,14,6100000,1.0,25.0,2020
3,24,6250000,1.0,27.7,2007
20,25,6300000,1.0,27.5,2007
23,25,6300000,1.0,28.4,2021
13,16,6350000,1.0,28.0,2007
7,30,6450000,1.0,26.8,2007
10,10,6490000,1.0,59.0,2007
9,24,6440000,1.0,27.2,2023
18,25,6400000,1.0,26.9,2020
23,25,6500000,1.0,32.45,2007
3,30,6500000,1.0,25.09,2026
8,18,6500000,1.0,29.8,2020
10,29,6500000,1.0,27.0,2025
15,25,6550000,1.0,29.0,2007
24,30,6550000,1.0,29.9,2026
19,27,6555000,1.0,38.4,2018
11,24,6700000,1.0,26.6,2023
10,25,6700000,1.0,25.9,2014
9,25,6700000,1.0,30.3,2024
3,25,6850000,1.0,34.2,2018
14,26,6850000,1.0,40.4,2007
5,30,6800000,1.0,27.0,2007
3,19,6900000,1.0,36.6,2018
17,22,6900000,1.0,56.0,2007
8,27,6900000,1.0,32.6,2016
24,25,7000000,1.0,36.0,2007
6,15,7000000,1.0,27.6,2020
2,17,7000000,1.0,35.6,2009
5,25,7230000,1.0,30.2,2024
22,30,7199000,1.0,31.2,2024
22,25,7200000,1.0,33.8,2017
4,10,7400000,1.0,37.7,2017
21,25,7500000,1.0,22.7,2022
18,25,7800000,1.0,34.2,2007
2,21,7955000,1.0,43.2,2007
6,19,8100000,1.0,51.9,2023
20,25,8550000,1.0,38.0,2020
5,19,8600000,1.0,51.6,2023
23,25,8650000,1.0,30.0,2017
6,16,8900000,1.0,59.34,2025
22,25,9200000,1.0,36.0,2007
10,24,9500000,1.0,39.5,2026
4,12,9500000,1.0,60.0,2026
10,25,10500000,1.0,55.2,2025
14,25,10899000,1.0,42.0,2015
12,25,12000000,1.0,49.0,2017
9,15,12300000,1.0,31.0,2023
14,14,12400000,1.0,135.0,2007
7,25,12500000,1.0,53.5,2007
20,25,12500000,1.0,49.0,2017
8,9,18500000,1.0,117.2,2007
4,15,28500000,1.0,186.9,1999
8,8,49000000,1.0,130.0,2007
5,5,1680000,1.0,20.1,1960
1,18,1680000,1.0,24.97,2025
3,5,1750000,1.0,16.5,1989
3,3,1760000,1.0,14.3,2011
1,5,1799000,1.0,18.0,2007
1,3,1800000,1.0,15.0,2012
10,10,1870000,1.0,39.35,2027
7,10,1860000,1.0,32.47,2023
14,19,1899990,1.0,19.4,2012
3,3,1855000,1.0,17.0,2012
3,5,1999900,1.0,18.0,1970
3,18,1990000,1.0,20.0,2011
4,5,2000000,1.0,18.0,1988
10,18,2000000,1.0,24.97,2025
1,1,2000000,1.0,23.0,1990
5,10,2000000,1.0,39.35,2027
5,10,2050000,1.0,39.0,2027
2,9,2050000,1.0,16.0,1989
3,10,2050000,1.0,33.0,2023
15,18,2100000,1.0,19.6,2012
3,3,2100000,1.0,23.8,2001
3,10,2100000,1.0,39.02,2027
17,18,2100000,1.0,25.0,2025
1,17,2190000,1.0,19.4,2015
6,18,2170000,1.0,25.0,2025
1,4,2150000,1.0,25.8,1958
1,17,2200000,1.0,22.4,2011
2,3,2200000,1.0,25.0,1968
3,5,2200000,1.0,17.0,1989
4,17,2200000,1.0,19.1,2015
14,17,2200000,1.0,21.1,2012
1,4,2200000,1.0,30.8,2007
3,3,2235600,1.0,24.4,1968
4,6,2200000,1.0,15.0,1998
5,18,2200000,1.0,20.0,2013
6,17,2200000,1.0,19.4,2014
5,10,2200000,1.0,39.35,2027
8,17,2260000,1.0,19.3,2007
6,17,2250000,1.0,19.9,2014
3,5,2269000,1.0,17.0,1974
4,17,2280000,1.0,30.88,2025
6,18,2290000,1.0,24.67,2025
2,3,2260000,1.0,24.5,1968
9,17,2280000,1.0,19.5,2012
10,17,2300000,1.0,19.7,2014
14,17,2300000,1.0,19.2,2014
2,17,2300000,1.0,19.4,2014
7,17,2300000,1.0,18.0,2011
6,17,2300000,1.0,20.0,2013
13,18,2320000,1.0,25.0,2025
1,5,2300000,1.0,15.0,2007
7,10,2300000,1.0,33.58,2023
7,10,2300000,1.0,39.0,2026
1,4,2350000,1.0,17.9,1938
5,5,2380000,1.0,17.5,2024
2,3,2350000,1.0,21.4,2018
10,19,2390000,1.0,19.3,2015
4,18,2400000,1.0,18.8,2012
3,4,2400000,1.0,19.8,2016
9,17,2400000,1.0,19.1,2015
3,5,2400000,1.0,17.4,1972
15,17,2400000,1.0,18.1,2013
2,12,2480000,1.0,21.0,2016
16,17,2450000,1.0,22.0,2012
4,5,2480000,1.0,18.0,1964
15,18,2480000,1.0,24.7,2023
2,17,2500000,1.0,19.4,2014
8,9,2530000,1.0,20.0,2013
16,17,2500000,1.0,20.4,2011
10,17,2500000,1.0,19.5,2023
16,17,2530000,1.0,22.2,2012
3,3,2520000,1.0,31.0,2013
13,17,2500000,1.0,22.0,2013
13,18,2500000,1.0,18.0,2013
4,4,2500000,1.0,18.0,2017
13,17,2500000,1.0,20.0,2007
6,17,2500000,1.0,19.4,2023
1,4,2500000,1.0,25.0,1940
5,5,2500000,1.0,18.9,2007
3,3,2590000,1.0,34.0,2010
8,17,2590000,1.0,21.0,2016
5,18,2550000,1.0,22.8,2017
2,10,2570000,1.0,20.6,2015
4,18,2550000,1.0,19.5,2013
17,18,2590000,1.0,23.4,2013
4,18,2580000,1.0,20.5,2013
2,17,2600000,1.0,18.0,2017
2,3,2600000,1.0,31.0,2017
16,17,2600000,1.0,22.5,2007
3,4,2600000,1.0,24.0,2017
2,12,2600000,1.0,20.8,2016
5,10,2600000,1.0,20.0,2007
3,9,2670000,1.0,17.8,1979
2,3,2650000,1.0,27.0,1968
9,11,2680000,1.0,22.0,2018
5,11,2650000,1.0,22.0,2018
7,10,2700000,1.0,20.7,2015
