author_type,district,finish_type,floor,floors_count,kitchen_meters,living_meters,price,rooms_count,street,total_meters,underground,year_of_construction
developer,Центральный,Предчистовая,28,30,-1,-1,11440000,1,,45.57,Сибирская,2027
real_estate_agent,Октябрьский,-1,8,19,8 м²,-1,4550000,1, Михаила Кулагина,25.3,Золотая Нива,2018
developer,Кировский,"Предчистовая, чистовая",18,26,"3,4 м²","14,6 м²",4950000,1,,27.27,Студенческая,2028
real_estate_agent,Калининский,-1,5,23,5 м²,13 м²,4600000,1,Игарская ,29.5,Заельцовская,-1
developer,Калининский,Предчистовая,6,21,"5,2 м²","15,4 м²",4580000,1, Тюленина,29.3,Заельцовская,2025
real_estate_agent,Советский,-1,20,21,-1,"18,4 м²",5000000,1, Русская,30.7,,2016
real_estate_agent,Калининский,-1,1,9,4 м²,14 м²,5200000,1, Дунаевского,28.0,Заельцовская,2017
real_estate_agent,Октябрьский,Черновая,10,25,-1,-1,4625080,1,Пролетарская ,26.89,Золотая Нива,2026
real_estate_agent,Заельцовский,-1,23,26,3 м²,17 м²,5250000,-1,Красный проспект,28.0,Заельцовская,2025
real_estate_agent,Октябрьский,-1,4,25,10 м²,"13,9 м²",6600000,1, Владимира Заровного,35.1,Речной вокзал,2019
developer,Центральный,Предчистовая,18,29,2 м²,"13,1 м²",4735250,-1, Николая Островского,20.15,Гагаринская,2026
homeowner,Октябрьский,Без отделки,13,26,6 м²,27 м²,7400000,1,2-я Обская ,42.0,Октябрьская,2027
homeowner,Центральный,-1,2,8,-1,"42,6 м²",15975000,1, Чаплыгина,52.6,Площадь Ленина,2023
developer,Центральный,Предчистовая,27,30,-1,-1,11200000,1,,44.36,Сибирская,2027
real_estate_agent,Кировский,-1,3,5,-1,10 м²,1700000,1, Зорге,12.7,Площадь Маркса,1973
real_estate_agent,Кировский,-1,3,10,2 м²,"5,5 м²",1200000,-1, Виктора Шевелева,8.1,Студенческая,-1
developer,Заельцовский,Предчистовая,16,24,"4,3 м²","62,2 м²",18650000,1,,96.9,Заельцовская,2028
real_estate_agent,Кировский,-1,2,3,2 м²,-1,1450000,1, Герцена,14.0,Студенческая,-1
developer,Дзержинский,Предчистовая,10,25,-1,-1,5800000,1,,25.94,Березовая Роща,2027
developer,Заельцовский,"Предчистовая, чистовая",3,23,"5,6 м²","13,9 м²",6300000,1, Ляпидевского,34.9,Заельцовская,2025
real_estate_agent,Первомайский,-1,11,19,5 м²,12 м²,2000000,1,Березовая ,18.2,Речной вокзал,2010
developer,Кировский,"Предчистовая, чистовая",5,26,"13,8 м²","18,3 м²",7110000,1, Аникина,46.57,Студенческая,2026
real_estate_agent,Заельцовский,-1,1,4,-1,11 м²,2350000,1, Жуковского,15.0,Заельцовская,1964
developer,Кировский,"Под ключ, предчистовая, чистовая",3,11,5 м²,"12,5 м²",4400000,1,18-й Бронный переулок,26.3,Студенческая,2025
real_estate_agent,Ленинский,-1,6,16,3 м²,"13,3 м²",4499000,1,,26.6,Студенческая,-1
developer,Заельцовский,Предчистовая,23,24,"7,1 м²","67,9 м²",20200000,1,,112.3,Заельцовская,2028
real_estate_agent,Заельцовский,-1,6,10,-1,-1,3600000,1,Кубовая ,24.8,Заельцовская,-1
real_estate_agent,Первомайский,-1,13,18,3 м²,15 м²,4100000,1, Героев Революции,27.7,Речной вокзал,2016
developer,Ленинский,Предчистовая,8,18,5 м²,14 м²,6355950,1, Серафимовича,30.2,Площадь Маркса,2026
developer,Кировский,"Под ключ, предчистовая, чистовая",16,24,5 м²,"14,3 м²",4750000,1,,29.0,Студенческая,2028
real_estate_agent,Калининский,-1,10,17,4 м²,-1,3550000,1, Краузе,23.3,Заельцовская,2010
real_estate_agent,Заельцовский,-1,11,18,5 м²,17 м²,4600000,1,Сухарная ,27.0,Площадь Гарина-Михайловского,2014
developer,Дзержинский,"Под ключ, предчистовая, чистовая",3,14,"4,4 м²","33,1 м²",6300000,1,,46.5,Золотая Нива,2027
real_estate_agent,Заельцовский,Без отделки,18,25,4 м²,16 м²,5390000,1, Дуси Ковальчук,34.0,Заельцовская,2025
developer,Ленинский,Предчистовая,1,18,5 м²,14 м²,6150900,1, Серафимовича,30.6,Площадь Маркса,2026
real_estate_agent,Ленинский,-1,9,25,5 м²,"16,3 м²",3350000,1, Пархоменко,27.0,Площадь Маркса,2025
developer,Кировский,"Под ключ, предчистовая, чистовая",2,24,"5,6 м²",13 м²,4250000,1,,27.6,Студенческая,2028
real_estate_agent,Кировский,-1,1,3,"7,8 м²",25 м²,3480000,1,Воскресная ,37.8,Студенческая,-1
real_estate_agent,Первомайский,-1,2,17,-1,-1,3500000,1,Первомайская ,24.6,Речной вокзал,-1
developer,Железнодорожный,Предчистовая,16,25,-1,-1,7800000,1,Железнодорожная ,30.3,Гагаринская,2024
real_estate_agent,Кировский,-1,6,16,"3,5 м²",10 м²,3400000,1, Петухова,20.2,Площадь Маркса,2024
realtor,Калининский,-1,5,17,5 м²,"13,6 м²",4050000,1,Игарская ,29.3,Заельцовская,2025
developer,Кировский,"Под ключ, предчистовая, чистовая",9,24,"4,9 м²","13,3 м²",4450000,1,,27.2,Студенческая,2028
real_estate_agent,Октябрьский,-1,6,24,3 м²,"13,4 м²",4800000,1,Большевистская ,21.36,Речной вокзал,-1
developer,Октябрьский,Предчистовая,4,6,5 м²,"6,9 м²",5360000,1,Большевистская ,20.67,Спортивная,2028
real_estate_agent,Октябрьский,-1,6,10,"4,4 м²",-1,3100000,1, Плющихинская,39.0,Золотая Нива,2024
real_estate_agent,Октябрьский,Черновая,13,25,-1,-1,4707630,1,Пролетарская ,27.53,Золотая Нива,2026
developer,Дзержинский,Предчистовая,4,17,-1,"12,9 м²",5817800,1,Промышленная ,30.62,Березовая Роща,2026
developer,Ленинский,Предчистовая,11,18,5 м²,"13,3 м²",6296350,1, Серафимовича,29.1,Площадь Маркса,2026
real_estate_agent,Железнодорожный,-1,13,25,4 м²,-1,5096000,-1,Железнодорожная ,24.8,Гагаринская,2016
real_estate_agent,Советский,-1,1,3,3 м²,19 м²,2650000,1, Ивлева,28.7,Студенческая,-1
developer,Центральный,Предчистовая,23,25,-1,-1,6800000,1, Державина,25.2,Маршала Покрышкина,2022
developer,Кировский,"Предчистовая, чистовая",5,26,"13,8 м²","18,3 м²",8510000,1, Аникина,46.57,Студенческая,2026
real_estate_agent,Ленинский,-1,2,4,-1,"6,7 м²",2400000,1,переулок 2-й Пархоменко,11.7,Площадь Маркса,-1
developer,Кировский,"Под ключ, предчистовая, чистовая",1,10,4 м²,"12,7 м²",4990000,1,18-й Бронный переулок,29.0,Студенческая,2025
real_estate_agent,Октябрьский,-1,9,10,10 м²,-1,3550000,1, Татьяны Снежиной,32.4,Золотая Нива,2012
real_estate_agent,Октябрьский,Предчистовая,21,23,-1,-1,4602420,1,2-я Воинская ,28.41,Золотая Нива,2025
real_estate_agent,Октябрьский,-1,3,10,-1,-1,3000000,1, Плющихинская,34.0,Золотая Нива,2024
