accommodation_type,author,author_type,deal_type,district,floor,floors_count,house_number,location,price,residential_complex,rooms_count,street,total_meters,underground,url
flat,Владис Центральное,real_estate_agent,sale,Октябрьский,13,17,91/3,Новосибирск,5270000,,1,Выборная ,46.0,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/324845842/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,МакроМир,real_estate_agent,sale,Дзержинский,2,4,13/5,Новосибирск,5250000,Свобода,1, Заслонова,42.7,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/324404417/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Статус,real_estate_agent,sale,Октябрьский,4,10,27/2,Новосибирск,5250000,Плющихинский квартал,1, Татьяны Снежиной,40.4,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/319996072/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Ленинский,4,9,26/1,Новосибирск,5300000,1956. Кварталы Телецентра,1, Серафимовича,28.4,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/324804413/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Октябрьский,9,10,50,Новосибирск,5300000,Зеленый Город,1,1-я Родниковая ,32.7,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/321277234/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Калининский,7,12,14,Новосибирск,5300000,Дежнёв,1, Имени генерал-майора А.Н. Рожкина,37.8,Заельцовская,https://novosibirsk.cian.ru/sale/flat/326655562/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Кировский,8,11,148,Новосибирск,5300000,,1, Петухова,36.0,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/326694745/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Октябрьский,8,10,154,Новосибирск,5300000,Выборная-Рябиновая,1,Выборная ,57.0,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/322909343/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Дзержинский,4,25,222,Новосибирск,5300000,Рубин,1, Гоголя,32.0,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/321228033/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Калининский,9,10,3,Новосибирск,5300000,,1, Василия Клевцова,36.1,Заельцовская,https://novosibirsk.cian.ru/sale/flat/323935349/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Заельцовский,17,17,49/1,Новосибирск,5300000,Нормандия-Неман,1, Аэропорт,29.0,Заельцовская,https://novosibirsk.cian.ru/sale/flat/320017591/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Домолегион,real_estate_agent,sale,Ленинский,6,17,106/1,Новосибирск,5300000,Новый горизонт,1,Рельефная ,43.1,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/327037304/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Владис Центральное,real_estate_agent,sale,Ленинский,9,17,162/2,Новосибирск,5300000,,1, Связистов,34.8,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/325762193/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Ново-Николаевскъ,real_estate_agent,sale,Октябрьский,19,26,15,Новосибирск,5300000,,1,Вилюйская ,40.3,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/301129152/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,PRO Недвижимость,real_estate_agent,sale,Ленинский,6,7,11,Новосибирск,5300000,,1, Пархоменко,38.3,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/323632149/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,АльянсРиэлт,real_estate_agent,sale,Октябрьский,7,10,46/1,Новосибирск,5300000,Плющихинский,1, Татьяны Снежиной,61.4,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/323712249/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Новактив,real_estate_agent,sale,Заельцовский,4,5,35/1,Новосибирск,5300000,,1,Линейная ,29.0,Гагаринская,https://novosibirsk.cian.ru/sale/flat/324377407/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Планета-А,real_estate_agent,sale,Октябрьский,11,18,13,Новосибирск,5300000,,1,Вилюйская ,40.9,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/326055670/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Наталья Кожемякина,realtor,sale,Калининский,6,18,329,Новосибирск,5300000,Infinity,1,Красный проспект,41.5,Заельцовская,https://novosibirsk.cian.ru/sale/flat/320941564/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЛЕГКОЕ РЕШЕНИЕ,real_estate_agent,sale,Октябрьский,1,10,91/1,Новосибирск,5350000,,1,Выборная ,36.2,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/323816693/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Новактив,real_estate_agent,sale,Заельцовский,8,10,261/1,Новосибирск,5390000,,1, Кропоткина,32.5,Гагаринская,https://novosibirsk.cian.ru/sale/flat/323874993/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,МакроМир,real_estate_agent,sale,Октябрьский,9,10,10,Новосибирск,5350000,,1, Плющихинская,58.5,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/326178545/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Марина Данилина,realtor,sale,Кировский,14,17,35,Новосибирск,5350000,,1, Аникина,41.3,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/326417501/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Заельцовский,1,13,73,Новосибирск,5444000,Начало мая,1, Лобачевского,38.5,Заельцовская,https://novosibirsk.cian.ru/sale/flat/325761220/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Ленинский,17,17,9,Новосибирск,5400000,"Венеция - 2, 3",1, Ясный Берег,32.2,Площадь Ленина,https://novosibirsk.cian.ru/sale/flat/325458529/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
