iter	Passed	Remaining
585	18222	354940
586	18255	354947
587	18289	354968
588	18322	354980
589	18356	354995
590	18392	355061
591	18425	355071
592	18459	355086
593	18494	355134
594	18528	355149
595	18560	355143
596	18594	355172
597	18629	355205
598	18663	355237
599	18696	355240
600	18733	355310
601	18768	355360
602	18803	355400
603	18839	355458
604	18874	355503
605	18910	355546
606	18944	355578
607	18979	355611
608	19012	355624
609	19047	355666
610	19083	355709
611	19120	355783
612	19155	355838
613	19193	355922
614	19226	355932
615	19259	355934
616	19293	355942
617	19327	355963
618	19361	355976
619	19397	356046
620	19432	356066
621	19466	356092
622	19501	356126
623	19535	356150
624	19569	356170
625	19604	356197
626	19637	356202
627	19669	356188
628	19703	356192
629	19736	356196
630	19769	356197
631	19803	356209
632	19836	356213
633	19869	356202
634	19902	356206
635	19935	356202
636	19969	356215
637	20003	356233
638	20037	356248
639	20070	356255
640	20111	356385
641	20145	356401
642	20178	356409
643	20213	356441
644	20247	356457
645	20282	356478
646	20316	356494
647	20351	356524
648	20385	356535
649	20419	356547
650	20453	356562
651	20486	356557
652	20520	356586
653	20553	356582
654	20586	356567
655	20619	356568
656	20652	356563
657	20686	356578
658	20720	356589
659	20754	356597
660	20787	356600
661	20821	356600
662	20854	356597
663	20888	356611
664	20921	356602
665	20959	356687
666	20993	356695
667	21026	356703
668	21060	356710
669	21094	356712
670	21127	356714
671	21162	356743
672	21195	356731
673	21228	356724
674	21261	356716
675	21294	356721
676	21328	356720
677	21361	356721
678	21395	356733
679	21432	356780
680	21466	356804
681	21500	356800
682	21532	356791
683	21565	356783
684	21599	356791
685	21635	356828
686	21669	356831
687	21703	356841
688	21736	356832
689	21769	356825
690	21802	356828
691	21836	356833
692	21870	356831
693	21904	356844
694	21937	356835
695	21970	356839
696	22004	356847
697	22038	356848
698	22072	356851
699	22106	356865
700	22140	356877
701	22172	356849
702	22206	356852
703	22241	356873
704	22275	356887
705	22309	356895
706	22343	356888
707	22378	356918
708	22412	356927
709	22446	356933
710	22479	356926
711	22512	356916
712	22546	356920
713	22580	356918
714	22614	356925
715	22648	356937
716	22682	356938
717	22715	356936
718	22749	356930
719	22783	356942
720	22817	356948
721	22851	356952
722	22885	356955
723	22921	356997
724	22955	356993
725	22989	356997
726	23022	356996
727	23057	357006
728	23091	357017
729	23124	357005
730	23158	357001
731	23192	357019
732	23227	357029
733	23261	357029
734	23295	357036
735	23328	357031
736	23362	357028
737	23396	357032
738	23433	357083
739	23466	357071
740	23499	357063
741	23534	357077
742	23568	357074
743	23600	357046
744	23633	357038
745	23668	357054
746	23702	357055
747	23741	357140
748	23774	357132
749	23809	357140
750	23844	357152
751	23878	357154
752	23912	357156
753	23945	357152
754	23979	357153
755	24014	357161
756	24048	357173
757	24083	357181
758	24116	357172
759	24151	357193
760	24185	357187
761	24219	357186
762	24251	357165
763	24284	357154
764	24318	357142
765	24352	357147
766	24386	357152
767	24420	357154
768	24456	357179
769	24491	357188
770	24524	357173
771	24557	357164
772	24591	357160
773	24625	357158
774	24658	357146
775	24692	357156
776	24726	357151
777	24762	357174
778	24796	357181
779	24831	357189
780	24867	357215
781	24901	357217
782	24949	357424
783	24986	357455
784	25019	357450
785	25053	357443
786	25087	357441
787	25129	357558
788	25165	357576
789	25198	357566
790	25232	357556
791	25265	357545
792	25299	357546
793	25333	357538
794	25370	357575
795	25407	357619
796	25448	357711
797	25489	357810
798	25524	357822
799	25561	357858
800	25612	358095
801	25649	358132
802	25687	358185
803	25724	358225
804	25762	358269
805	25798	358292
806	25835	358329
807	25875	358417
808	25922	358584
809	25959	358631
810	25998	358685
811	26037	358755
812	26075	358800
813	26112	358839
814	26151	358906
815	26197	359056
816	26234	359093
817	26274	359171
818	26314	359248
819	26353	359301
820	26392	359364
821	26429	359403
822	26471	359501
823	26509	359557
824	26548	359614
825	26588	359683
826	26630	359780
827	26668	359830
828	26707	359895
829	26746	359946
830	26782	359964
831	26818	359993
832	26854	360007
833	26891	360037
834	26927	360057
835	26952	359923
836	26987	359930
837	27025	359968
838	27061	359996
839	27100	360043
840	27142	360144
841	27188	360291
842	27230	360397
843	27266	360414
844	27305	360464
845	27342	360493
846	27377	360503
847	27413	360508
848	27449	360522
849	27493	360654
850	27534	360725
851	27575	360808
852	27612	360843
853	27650	360875
854	27689	360928
855	27732	361046
856	27773	361124
857	27810	361141
858	27846	361165
859	27884	361198
860	27920	361215
861	27957	361245
862	27994	361272
863	28030	361278
864	28065	361283
865	28100	361285
866	28136	361300
867	28171	361298
868	28206	361294
869	28243	361321
870	28280	361351
871	28316	361354
872	28351	361357
873	28384	361339
874	28418	361324
875	28453	361326
876	28488	361322
877	28524	361334
878	28558	361320
879	28592	361302
880	28627	361300
881	28663	361313
882	28700	361339
883	28736	361353
884	28772	361358
885	28807	361363
886	28840	361336
887	28876	361344
888	28911	361350
889	28954	361443
890	28991	361462
891	29026	361468
892	29063	361490
893	29100	361507
894	29136	361515
895	29174	361550
896	29211	361577
897	29250	361628
898	29285	361620
899	29320	361625
900	29356	361629
901	29392	361644
902	29428	361648
903	29466	361687
904	29502	361687
905	29539	361712
906	29575	361715
907	29611	361727
908	29646	361726
909	29681	361724
910	29714	361691
911	29749	361692
912	29784	361692
913	29819	361686
914	29855	361687
915	29890	361692
916	29925	361683
917	29959	361664
918	29993	361650
919	30027	361636
920	30063	361639
921	30096	361617
922	30131	361613
923	30166	361606
924	30201	361604
925	30236	361592
926	30269	361570
927	30302	361542
928	30337	361530
929	30371	361515
930	30405	361497
931	30438	361472
932	30470	361436
933	30504	361414
934	30540	361425
935	30574	361410
936	30607	361377
937	30641	361356
