author_type,district,floor,kitchen_meters,price,rooms_count,year_of_construction
4.0,2.5,23.0,3.6,4910000.0,1.0,2026
2.0,3.7,9.0,3.5,3850000.0,1.0,2017
4.0,3.4,17.0,10.799999999999999,5634834.0,1.0,2026
2.0,3.7,12.0,5.0,3700000.0,1.0,2019
2.0,2.5,12.0,5.0,3000000.0,1.0,2024
2.0,4.0,5.0,7.102,6810000.0,1.0,2027
2.0,3.3,14.0,2.0,4550000.0,1.0,2017
4.0,2.9,5.0,4.436,4790000.0,1.0,2026
2.0,2.9,3.0,5.24,5500000.0,1.0,2015
2.0,4.0,5.0,5.0,5500000.0,1.0,2012
4.0,3.4,17.0,17.42,6529292.0,1.0,2026
2.0,2.9,12.0,2.0,3800000.0,1.0,2020
2.0,2.5,6.0,4.0,3080000.0,1.0,2024
4.0,4.2,4.0,6.426000000000001,7494000.0,1.0,2027
4.0,3.3,1.0,5.84,4200000.0,1.0,2027
2.0,4.4,15.0,6.199999999999999,3800000.0,1.0,2013
2.0,3.7,8.0,5.0,4200000.0,1.0,2017
4.0,4.4,1.0,5.0,4899900.0,1.0,2026
2.0,2.5,14.0,4.100000000000001,4300000.0,1.0,2024
2.0,3.7,16.0,4.0,2299000.0,1.0,2013
4.0,2.9,1.0,20.56,6661000.0,1.0,2027
2.0,4.2,3.0,8.0,4350000.0,1.0,2022
2.0,2.5,13.0,5.0,4700000.0,1.0,2018
4.0,4.4,5.0,5.0,4666700.0,1.0,2026
2.0,3.7,2.0,7.0,3350000.0,1.0,2023
2.0,3.3,8.0,4.0,3900000.0,1.0,2023
4.0,3.3,15.0,5.1,4676958.0,1.0,2027
2.0,3.7,2.0,4.0,2850000.0,1.0,2016
2.0,3.7,12.0,3.3,3350000.0,1.0,2021
4.0,4.0,18.0,5.338000000000001,5800000.0,1.0,2023
2.0,3.7,14.0,12.600000000000001,3950000.0,1.0,2017
2.0,2.9,4.0,16.200000000000003,5400000.0,1.0,2015
4.0,3.9,19.0,4.1,6803000.0,1.0,2028
2.0,4.4,14.0,7.600000000000001,3500000.0,1.0,2013
4.0,4.0,2.0,6.04,7000000.0,1.0,2026
4.0,4.4,8.0,5.0,5155500.0,1.0,2026
2.0,3.7,5.0,6.300000000000001,3600000.0,1.0,2021
2.0,4.4,9.0,4.0,3950000.0,1.0,2013
2.0,2.5,11.0,3.98,4700000.0,1.0,2026
2.0,3.3,8.0,8.0,4200000.0,1.0,2017
4.0,4.0,1.0,5.640000000000001,5900000.0,1.0,2028
2.0,2.9,15.0,5.0,3500000.0,1.0,2023
4.0,4.0,2.0,5.98,6580000.0,1.0,2028
2.0,2.9,9.0,4.0,4650000.0,1.0,2015
4.0,2.9,3.0,17.02,6230000.0,1.0,2027
2.0,3.4,12.0,5.0,5000000.0,1.0,2015
4.0,2.5,20.0,4.1,5160000.0,1.0,2026
2.0,4.4,9.0,8.0,3300000.0,1.0,2024
4.0,4.2,3.0,6.968000000000001,8171000.0,1.0,2027
2.0,2.5,3.0,6.6000000000000005,2870000.0,1.0,2020
2.0,2.5,3.0,5.0,5100000.0,1.0,2026
4.0,2.9,1.0,16.51,6800000.0,1.0,2027
2.0,2.5,2.0,3.0,5049000.0,1.0,2024
4.0,2.5,18.0,3.8,5830000.0,1.0,2026
4.0,2.9,1.0,5.0,5540000.0,1.0,2025
2.0,4.0,3.0,4.14,4610000.0,1.0,2028
2.0,3.7,5.0,4.0,2370000.0,1.0,2017
2.0,2.5,13.0,5.032,7540000.0,1.0,2026
2.0,3.7,1.0,4.699999999999999,2400000.0,1.0,2017
2.0,3.7,12.0,6.740000000000001,4000000.0,1.0,2021
4.0,2.9,12.0,4.558,5690000.0,1.0,2026
2.0,2.5,7.0,5.0,5650000.0,1.0,2024
2.0,4.0,7.0,4.260000000000001,5650000.0,1.0,2025
2.0,2.5,13.0,5.0200000000000005,5750000.0,1.0,2024
2.0,2.9,15.0,8.0,5750000.0,1.0,2020
2.0,2.5,3.0,4.0,5780000.0,1.0,2022
2.0,4.2,7.0,3.0,5790000.0,1.0,2018
2.0,2.5,6.0,6.0600000000000005,5800000.0,1.0,2020
2.0,3.8,13.0,3.0,5800000.0,1.0,2007
2.0,3.8,11.0,7.5,5800000.0,1.0,2014
2.0,2.5,17.0,5.920000000000001,5850000.0,1.0,2016
2.0,2.5,15.0,3.0,5875000.0,1.0,2026
2.0,2.5,17.0,5.0,5870000.0,1.0,2019
2.0,3.4,14.0,17.0,5900000.0,1.0,2012
2.0,3.8,13.0,4.4799999999999995,5900000.0,1.0,2021
2.0,2.9,6.0,4.9,5999000.0,1.0,2020
2.0,3.8,7.0,5.0,5950000.0,1.0,2007
2.0,3.9,3.0,8.5,6000000.0,1.0,2024
2.0,2.5,14.0,5.3,6000000.0,1.0,2025
2.0,2.5,16.0,5.0,6000000.0,1.0,2022
2.0,2.5,11.0,5.04,6000000.0,1.0,2025
2.0,4.0,4.0,7.0,6050000.0,1.0,2021
2.0,4.0,2.0,5.0,6100000.0,1.0,2022
