author_type,district,floor,kitchen_meters,price,rooms_count,total_meters,year_of_construction
2.0,2.9,9.0,7.299999999999999,3150.0,1.0,22.4,2017
2.0,3.7,2.0,4.0,2300.0,1.0,20.0,2014
4.0,3.4,3.0,2.8,4100.0,1.0,20.4,2027
2.0,4.4,13.0,3.0,2300.0,1.0,19.2,2013
2.0,2.9,1.0,5.2,2949.0,1.0,26.0,2015
4.0,3.9,11.0,5.1,8600.0,1.0,41.7,2028
2.0,2.9,14.0,4.08,3000.0,1.0,20.4,2023
4.0,4.2,3.0,7.5,5990.0,1.0,25.57,2028
4.0,2.5,1.0,10.0,9990.0,1.0,42.28,2026
2.0,2.5,3.0,12.600000000000001,4600.0,1.0,30.6,2020
2.0,3.3,4.0,5.0,4400.0,1.0,28.0,2017
4.0,2.5,4.0,4.64,4154.0,1.0,23.2,2026
2.0,2.5,2.0,5.34,3850.0,1.0,26.7,2015
2.0,3.7,4.0,5.0,3300.0,1.0,24.1,2023
4.0,3.4,3.0,5.4,4990.0,1.0,26.9,2027
2.0,2.5,16.0,4.0,3410.0,1.0,23.1,2010
2.0,2.5,6.0,5.0,4100.0,1.0,21.3,2023
4.0,4.0,8.0,4.0,7200.0,1.0,37.4,2025
4.0,2.9,5.0,14.399999999999999,5402.0,1.0,27.4,2027
2.0,2.5,6.0,5.4,3460.0,1.0,27.0,2013
2.0,3.7,13.0,5.0,3000.0,1.0,27.6,2014
2.0,4.0,12.0,6.938,6650.0,1.0,34.69,2027
2.0,3.8,5.0,4.0,3840.0,1.0,25.0,2007
2.0,2.9,4.0,5.638000000000001,4419.0,1.0,28.19,2026
4.0,3.4,6.0,5.2,5350.0,1.0,29.7,2027
2.0,2.9,10.0,6.0,2999.0,1.0,27.5,2023
2.0,2.9,2.0,5.34,3577.0,1.0,26.7,2024
4.0,3.4,19.0,3.1,5664.0,1.0,24.9,2026
2.0,2.9,8.0,5.0,4650.0,1.0,24.1,2012
2.0,2.5,10.0,14.399999999999999,3400.0,1.0,32.4,2010
4.0,2.9,12.0,4.806000000000001,5700.0,1.0,24.03,2026
2.0,4.4,17.0,3.8600000000000003,2250.0,1.0,19.3,2015
2.0,3.7,8.0,19.5,3480.0,1.0,38.5,2019
4.0,3.4,6.0,5.0,4550.0,1.0,25.5,2027
2.0,4.0,4.0,5.0,4900.0,1.0,26.3,2020
4.0,3.3,15.0,5.0,4833.0,1.0,32.0,2027
4.0,3.4,2.0,3.9,6711.0,1.0,41.1,2026
2.0,4.0,13.0,3.0,5600.0,1.0,23.0,2013
2.0,2.5,3.0,2.0,5500.0,1.0,43.0,2014
4.0,2.9,6.0,15.7,6290.0,1.0,33.5,2027
2.0,4.4,2.0,4.0,2680.0,1.0,20.0,2013
4.0,3.8,21.0,5.54,7200.0,1.0,27.7,2022
2.0,2.5,5.0,4.800000000000001,4200.0,1.0,24.0,2024
