author_type,district,floor,floors_count,kitchen_meters,living_meters,price,rooms_count,total_meters,year_of_construction
4.0,3.4,2.0,25.0,3.9,21.7,6711.0,1.0,41.1,2026
2.0,4.0,13.0,21.0,3.0,15.0,5600.0,1.0,23.0,2013
2.0,2.5,3.0,4.0,2.0,36.0,5500.0,1.0,43.0,2014
4.0,2.9,6.0,25.0,15.7,17.8,6290.0,1.0,33.5,2027
2.0,4.4,2.0,17.0,4.0,9.0,2680.0,1.0,20.0,2013
4.0,3.8,21.0,25.0,5.54,22.16,7200.0,1.0,27.7,2022
2.0,2.5,5.0,20.0,4.800000000000001,19.200000000000003,4200.0,1.0,24.0,2024
2.0,2.5,20.0,25.0,2.0,18.4,4850.0,1.0,28.8,2020
2.0,4.0,15.0,24.0,5.686,22.744,5480.0,1.0,28.43,2027
2.0,2.9,7.0,17.0,6.140000000000001,24.560000000000002,3300.0,1.0,30.7,2015
2.0,2.5,7.0,10.0,4.0,35.0,3000.0,1.0,39.0,2024
4.0,4.4,6.0,14.0,5.0,9.1,4167.0,1.0,21.85,2026
2.0,3.3,15.0,17.0,4.0,19.1,3800.0,1.0,28.1,2017
2.0,3.4,12.0,24.0,3.0,10.0,4600.0,1.0,18.0,2018
2.0,4.0,9.0,24.0,5.734000000000001,22.936000000000003,5510.0,1.0,28.67,2027
2.0,3.3,12.0,26.0,2.0,15.0,4700.0,1.0,23.4,2017
2.0,2.5,4.0,25.0,2.4,13.4,4700.0,1.0,22.7,2024
2.0,3.7,3.0,17.0,3.1,14.4,2950.0,1.0,23.4,2014
2.0,2.5,6.0,9.0,12.399999999999999,20.0,3500.0,1.0,32.4,2020
2.0,2.9,14.0,18.0,3.0,14.0,2950.0,1.0,22.7,2018
4.0,3.4,15.0,17.0,11.099999999999998,14.8,5521.0,1.0,25.9,2026
2.0,4.4,17.0,17.0,4.0,15.4,3900.0,1.0,27.4,2012
2.0,4.2,15.0,26.0,5.0,22.8,2950.0,1.0,27.8,1994
4.0,2.5,23.0,25.0,3.6,9.6,4910.0,1.0,23.2,2026
2.0,3.7,9.0,14.0,3.5,19.0,3850.0,1.0,25.8,2017
4.0,3.4,17.0,17.0,10.799999999999999,14.4,5634.0,1.0,25.2,2026
2.0,3.7,12.0,17.0,5.0,11.0,3700.0,1.0,23.8,2019
2.0,2.5,12.0,18.0,5.0,20.0,3000.0,1.0,25.0,2024
2.0,4.0,5.0,24.0,7.102,28.408,6810.0,1.0,35.51,2027
2.0,3.3,14.0,15.0,2.0,15.0,4550.0,1.0,28.4,2017
4.0,2.9,5.0,15.0,4.436,17.744,4790.0,1.0,22.18,2026
2.0,2.9,3.0,19.0,5.24,20.96,5500.0,1.0,26.2,2015
2.0,4.0,5.0,18.0,5.0,18.0,5500.0,1.0,25.0,2012
4.0,3.4,17.0,17.0,17.42,12.5,6529.0,1.0,29.92,2026
2.0,2.9,12.0,13.0,2.0,18.0,3800.0,1.0,25.7,2020
2.0,2.5,6.0,10.0,4.0,25.0,3080.0,1.0,39.35,2024
4.0,4.2,4.0,24.0,6.426000000000001,25.704000000000004,7494.0,1.0,32.13,2027
4.0,3.3,1.0,17.0,5.84,23.36,4200.0,1.0,29.2,2027
2.0,4.4,15.0,19.0,6.199999999999999,15.0,3800.0,1.0,21.2,2013
2.0,3.7,8.0,16.0,5.0,17.7,4200.0,1.0,22.7,2017
4.0,4.4,1.0,10.0,5.0,11.7,4899.0,1.0,27.4,2026
2.0,2.5,14.0,23.0,4.100000000000001,22.0,4300.0,1.0,26.1,2024
2.0,3.7,16.0,16.0,4.0,10.0,2299.0,1.0,19.0,2013
4.0,2.9,1.0,9.0,20.56,15.3,6661.0,1.0,35.86,2027
2.0,4.2,3.0,3.0,8.0,16.0,4350.0,1.0,33.0,2022
2.0,2.5,13.0,17.0,5.0,16.9,4700.0,1.0,33.9,2018
4.0,4.4,5.0,10.0,5.0,11.2,4666.0,1.0,25.72,2026
2.0,3.7,2.0,10.0,7.0,25.0,3350.0,1.0,39.0,2023
2.0,3.3,8.0,16.0,4.0,18.0,3900.0,1.0,29.2,2023
4.0,3.3,15.0,21.0,5.1,15.3,4676.0,1.0,30.5,2027
2.0,3.7,2.0,18.0,4.0,16.0,2850.0,1.0,24.0,2016
2.0,3.7,12.0,18.0,3.3,13.0,3350.0,1.0,25.0,2021
4.0,4.0,18.0,25.0,5.338000000000001,21.352000000000004,5800.0,1.0,26.69,2023
2.0,3.7,14.0,25.0,12.600000000000001,14.7,3950.0,1.0,27.3,2017
2.0,2.9,4.0,20.0,16.200000000000003,28.5,5400.0,1.0,44.7,2015
