floor,kitchen_meters,price,rooms_count,total_meters,year_of_construction
10.0,4.4,3800.0,1.0,38.2,2017
3.0,3.8000000000000003,1700.0,1.0,19.0,1975
11.0,5.0,4700.0,1.0,19.9,2026
4.0,3.6200000000000006,1850.0,1.0,18.1,1970
7.0,3.0,2300.0,1.0,19.5,2011
3.0,6.6,7341.0,1.0,25.2,2026
2.0,4.4,3400.0,1.0,38.5,2017
4.0,3.0,2100.0,1.0,19.2,2014
6.0,5.0,5830.0,1.0,24.2,2026
6.0,5.0,4500.0,1.0,23.9,2014
4.0,3.7,2200.0,1.0,20.2,2013
11.0,5.1,6850.0,1.0,28.17,2028
6.0,10.0,3450.0,1.0,32.5,2024
3.0,3.7200000000000006,4250.0,1.0,18.6,2024
8.0,5.48,5800.0,1.0,27.4,2025
3.0,5.0,3500.0,1.0,26.0,2025
15.0,6.100000000000001,2150.0,1.0,18.1,2013
10.0,5.1,6275.0,1.0,26.06,2028
1.0,4.0,2550.0,1.0,27.4,2017
1.0,5.0,2350.0,1.0,30.8,2014
7.0,11.490000000000002,6852.0,1.0,28.19,2026
7.0,1.8,2800.0,1.0,18.2,2024
6.0,5.0600000000000005,3100.0,1.0,25.3,2024
13.0,5.1,6600.0,1.0,31.67,2028
11.0,7.0,4250.0,1.0,30.7,2015
12.0,5.5200000000000005,2850.0,1.0,27.6,2013
8.0,10.0,8890.0,1.0,30.55,2028
1.0,4.0,2400.0,1.0,23.5,2017
2.0,8.600000000000001,2000.0,1.0,19.1,2013
4.0,5.6,11435.0,1.0,34.9,2026
1.0,11.2,3150.0,1.0,20.2,2013
5.0,7.804000000000001,2800.0,1.0,39.02,2025
9.0,7.4,9305.0,1.0,32.23,2027
3.0,6.6000000000000005,3400.0,1.0,33.0,2011
6.0,2.7,3550.0,1.0,39.0,2017
12.0,12.7,7303.0,1.0,28.8,2026
5.0,17.0,4500.0,1.0,47.0,2015
16.0,6.0,3950.0,1.0,24.0,2024
14.0,3.0,7350.0,1.0,32.3,2028
17.0,4.0,4500.0,1.0,28.97,2026
3.0,3.0,3990.0,1.0,20.22,2026
2.0,5.922000000000001,6084.0,1.0,29.61,2027
10.0,15.0,4600.0,1.0,41.0,2016
15.0,6.6,4000.0,1.0,38.4,2017
8.0,5.6,5390.0,1.0,26.7,2027
6.0,4.0,4850.0,1.0,27.63,2022
1.0,6.0,4050.0,1.0,25.6,2011
20.0,10.839999999999998,6703.0,1.0,25.74,2026
7.0,10.0,4350.0,1.0,23.0,2021
17.0,10.0,4100.0,1.0,25.37,2025
8.0,5.0,5350.0,1.0,26.0,2027
2.0,5.6000000000000005,7300.0,1.0,28.0,2026
2.0,10.0,4150.0,1.0,40.0,2017
22.0,7.3,7941.0,1.0,27.47,2026
12.0,6.0,7500.0,1.0,30.48,2024
17.0,4.0,4300.0,1.0,30.0,2017
18.0,3.4,5270.0,1.0,27.27,2026
2.0,9.0,4700.0,1.0,36.0,2013
12.0,3.4,5400.0,1.0,27.73,2026
6.0,8.5,4500.0,1.0,58.5,2024
14.0,10.0,4900.0,1.0,21.1,2024
5.0,41.099999999999994,14670.0,1.0,83.1,2025
26.0,3.6,6000.0,1.0,27.0,2019
3.0,5.5,5500.0,1.0,27.5,2025
16.0,5.1,9117.0,1.0,29.98,2026
4.0,3.5200000000000005,2359.0,1.0,17.6,2017
20.0,7.8,9900.0,1.0,33.9,2026
5.0,6.0,3650.0,1.0,36.7,2020
2.0,5.0,2400.0,1.0,18.4,2013
11.0,2.0,5640.0,1.0,20.97,2026
13.0,5.0,6500.0,1.0,30.0,2022
6.0,5.0,2750.0,1.0,26.8,2015
24.0,12.699999999999996,8350.0,1.0,34.3,2025
20.0,4.0,5200.0,1.0,26.9,2023
2.0,5.0,2845.0,1.0,24.3,1968
13.0,3.4,5370.0,1.0,27.73,2026
22.0,4.0,4980.0,1.0,23.7,2019
4.0,3.0,3490.0,1.0,23.0,2015
18.0,5.032,5540.0,1.0,25.16,2026
9.0,5.5280000000000005,7900.0,1.0,27.64,2015
15.0,7.359999999999999,3790.0,1.0,36.8,2025
11.0,3.4,6080.0,1.0,27.73,2028
4.0,5.2,4850.0,1.0,27.7,2020
13.0,5.0,3800.0,1.0,27.9,2017
2.0,5.0,5928.0,1.0,27.7,2026
15.0,8.0,5550.0,1.0,25.0,2011
16.0,6.0,4500.0,1.0,25.8,2006
28.0,9.114,11440.0,1.0,45.57,2027
8.0,8.0,4550.0,1.0,25.3,2018
18.0,3.4,4950.0,1.0,27.27,2028
5.0,5.0,4600.0,1.0,29.5,2017
6.0,5.2,4580.0,1.0,29.3,2025
20.0,12.3,5000.0,1.0,30.7,2016
1.0,4.0,5200.0,1.0,28.0,2017
10.0,5.378,4625.0,1.0,26.89,2026
23.0,3.0,5250.0,1.0,28.0,2025
4.0,10.0,6600.0,1.0,35.1,2019
18.0,2.0,4735.0,1.0,20.15,2026
13.0,6.0,7400.0,1.0,42.0,2027
2.0,10.0,15975.0,1.0,52.6,2023
27.0,8.872,11200.0,1.0,44.36,2027
3.0,2.6999999999999993,1700.0,1.0,12.7,1973
3.0,2.0,1200.0,1.0,8.1,2017
16.0,4.3,18650.0,1.0,96.9,2028
2.0,2.0,1450.0,1.0,14.0,2017
10.0,5.188000000000001,5800.0,1.0,25.94,2027
3.0,5.6,6300.0,1.0,34.9,2025
11.0,5.0,2000.0,1.0,18.2,2010
5.0,13.8,7110.0,1.0,46.57,2026
1.0,4.0,2350.0,1.0,15.0,1964
3.0,5.0,4400.0,1.0,26.3,2025
6.0,3.0,4499.0,1.0,26.6,2015
23.0,7.1,20200.0,1.0,112.3,2028
6.0,4.960000000000001,3600.0,1.0,24.8,2022
13.0,3.0,4100.0,1.0,27.7,2016
8.0,5.0,6355.0,1.0,30.2,2026
16.0,5.0,4750.0,1.0,29.0,2028
10.0,4.0,3550.0,1.0,23.3,2010
11.0,5.0,4600.0,1.0,27.0,2014
3.0,4.4,6300.0,1.0,46.5,2027
18.0,4.0,5390.0,1.0,34.0,2025
1.0,5.0,6150.0,1.0,30.6,2026
9.0,5.0,3350.0,1.0,27.0,2025
2.0,5.6,4250.0,1.0,27.6,2028
1.0,7.8,3480.0,1.0,37.8,2017
2.0,4.920000000000001,3500.0,1.0,24.6,2013
16.0,6.0600000000000005,7800.0,1.0,30.3,2024
6.0,3.5,3400.0,1.0,20.2,2024
5.0,5.0,4050.0,1.0,29.3,2025
9.0,4.9,4450.0,1.0,27.2,2028
6.0,3.0,4800.0,1.0,21.36,2020
4.0,5.0,5360.0,1.0,20.67,2028
6.0,4.4,3100.0,1.0,39.0,2024
13.0,5.506,4707.0,1.0,27.53,2026
4.0,17.72,5817.0,1.0,30.62,2026
11.0,5.0,6296.0,1.0,29.1,2026
13.0,4.0,5096.0,1.0,24.8,2016
1.0,3.0,2650.0,1.0,28.7,1994
23.0,5.04,6800.0,1.0,25.2,2022
5.0,13.8,8510.0,1.0,46.57,2026
2.0,4.999999999999999,2400.0,1.0,11.7,2015
1.0,4.0,4990.0,1.0,29.0,2025
9.0,10.0,3550.0,1.0,32.4,2012
21.0,5.682,4602.0,1.0,28.41,2025
3.0,6.800000000000001,3000.0,1.0,34.0,2024
1.0,5.0,6796.0,1.0,34.1,2026
8.0,4.44,5300.0,1.0,22.2,2023
21.0,5.84,7600.0,1.0,29.2,2022
10.0,5.0,6820.0,1.0,32.88,2028
2.0,5.8,4300.0,1.0,34.1,1933
6.0,4.3,4500.0,1.0,25.3,2025
9.0,5.0,7090.0,1.0,35.74,2028
9.0,6.800000000000001,2600.0,1.0,34.0,2020
18.0,5.82,8200.0,1.0,29.1,2024
1.0,4.0,3000.0,1.0,28.8,2017
29.0,6.5,9960.0,1.0,45.1,2026
5.0,9.8,3200.0,1.0,22.0,2021
2.0,5.0,5900.0,1.0,24.39,2028
18.0,6.0200000000000005,4300.0,1.0,30.1,2015
2.0,4.8,4600.0,1.0,28.11,2026
16.0,5.0,6352.0,1.0,27.7,2026
8.0,6.4,4000.0,1.0,32.0,2015
1.0,5.0,3887.0,1.0,21.4,2026
5.0,5.0,3260.0,1.0,33.0,2011
15.0,14.55,5649.0,1.0,26.75,2026
3.0,5.3580000000000005,3873.0,1.0,26.79,2025
9.0,5.2,5650.0,1.0,25.9,2026
4.0,4.600000000000001,2700.0,1.0,21.0,2016
2.0,5.0,5310.0,1.0,21.55,2028
10.0,3.0,4250.0,1.0,24.0,2012
12.0,5.1,3881.0,1.0,24.8,2027
9.0,4.0,4000.0,1.0,27.9,2019
4.0,5.0,4200.0,1.0,30.0,2013
22.0,5.18,7000.0,1.0,25.9,2022
4.0,6.5,3300.0,1.0,20.0,2011
8.0,5.772,4992.0,1.0,28.86,2026
5.0,3.0,2350.0,1.0,15.0,2015
14.0,5.0,4550.0,1.0,25.2,2027
7.0,5.1,3500.0,1.0,25.4,2009
16.0,4.0,3500.0,1.0,19.5,2023
19.0,6.800000000000001,9000.0,1.0,34.0,2024
4.0,3.0,4000.0,1.0,25.0,2022
2.0,3.0,2600.0,1.0,23.6,2017
17.0,5.84,4750.0,1.0,29.2,2010
1.0,5.0,2390.0,1.0,34.2,2017
4.0,10.0,3170.0,1.0,25.7,2015
2.0,4.9,4149.0,1.0,24.5,2026
4.0,5.0,5490.0,1.0,28.0,2017
2.0,5.0,3080.0,1.0,33.6,2016
3.0,5.702000000000001,4618.0,1.0,28.51,2025
7.0,5.1,4000.0,1.0,24.5,2022
3.0,5.0,5000.0,1.0,29.0,2026
3.0,4.7,4193.0,1.0,23.5,2026
9.0,7.299999999999999,3150.0,1.0,22.4,2017
2.0,4.0,2300.0,1.0,20.0,2014
3.0,2.8,4100.0,1.0,20.4,2027
13.0,3.0,2300.0,1.0,19.2,2013
1.0,5.2,2949.0,1.0,26.0,2015
11.0,5.1,8600.0,1.0,41.7,2028
14.0,4.08,3000.0,1.0,20.4,2023
3.0,7.5,5990.0,1.0,25.57,2028
1.0,10.0,9990.0,1.0,42.28,2026
3.0,12.600000000000001,4600.0,1.0,30.6,2020
4.0,5.0,4400.0,1.0,28.0,2017
4.0,4.64,4154.0,1.0,23.2,2026
2.0,5.34,3850.0,1.0,26.7,2015
4.0,5.0,3300.0,1.0,24.1,2023
3.0,5.4,4990.0,1.0,26.9,2027
16.0,4.0,3410.0,1.0,23.1,2010
6.0,5.0,4100.0,1.0,21.3,2023
8.0,4.0,7200.0,1.0,37.4,2025
5.0,14.399999999999999,5402.0,1.0,27.4,2027
6.0,5.4,3460.0,1.0,27.0,2013
13.0,5.0,3000.0,1.0,27.6,2014
12.0,6.938,6650.0,1.0,34.69,2027
5.0,4.0,3840.0,1.0,25.0,2007
4.0,5.638000000000001,4419.0,1.0,28.19,2026
6.0,5.2,5350.0,1.0,29.7,2027
10.0,6.0,2999.0,1.0,27.5,2023
2.0,5.34,3577.0,1.0,26.7,2024
19.0,3.1,5664.0,1.0,24.9,2026
8.0,5.0,4650.0,1.0,24.1,2012
10.0,14.399999999999999,3400.0,1.0,32.4,2010
12.0,4.806000000000001,5700.0,1.0,24.03,2026
17.0,3.8600000000000003,2250.0,1.0,19.3,2015
8.0,19.5,3480.0,1.0,38.5,2019
6.0,5.0,4550.0,1.0,25.5,2027
4.0,5.0,4900.0,1.0,26.3,2020
15.0,5.0,4833.0,1.0,32.0,2027
2.0,3.9,6711.0,1.0,41.1,2026
13.0,3.0,5600.0,1.0,23.0,2013
3.0,2.0,5500.0,1.0,43.0,2014
6.0,15.7,6290.0,1.0,33.5,2027
2.0,4.0,2680.0,1.0,20.0,2013
21.0,5.54,7200.0,1.0,27.7,2022
5.0,4.800000000000001,4200.0,1.0,24.0,2024
20.0,2.0,4850.0,1.0,28.8,2020
15.0,5.686,5480.0,1.0,28.43,2027
7.0,6.140000000000001,3300.0,1.0,30.7,2015
7.0,4.0,3000.0,1.0,39.0,2024
6.0,5.0,4167.0,1.0,21.85,2026
15.0,4.0,3800.0,1.0,28.1,2017
12.0,3.0,4600.0,1.0,18.0,2018
9.0,5.734000000000001,5510.0,1.0,28.67,2027
12.0,2.0,4700.0,1.0,23.4,2017
4.0,2.4,4700.0,1.0,22.7,2024
3.0,3.1,2950.0,1.0,23.4,2014
6.0,12.399999999999999,3500.0,1.0,32.4,2020
14.0,3.0,2950.0,1.0,22.7,2018
15.0,11.099999999999998,5521.0,1.0,25.9,2026
17.0,4.0,3900.0,1.0,27.4,2012
15.0,5.0,2950.0,1.0,27.8,1994
23.0,3.6,4910.0,1.0,23.2,2026
9.0,3.5,3850.0,1.0,25.8,2017
17.0,10.799999999999999,5634.0,1.0,25.2,2026
12.0,5.0,3700.0,1.0,23.8,2019
12.0,5.0,3000.0,1.0,25.0,2024
5.0,7.102,6810.0,1.0,35.51,2027
14.0,2.0,4550.0,1.0,28.4,2017
5.0,4.436,4790.0,1.0,22.18,2026
3.0,5.24,5500.0,1.0,26.2,2015
5.0,5.0,5500.0,1.0,25.0,2012
17.0,17.42,6529.0,1.0,29.92,2026
12.0,2.0,3800.0,1.0,25.7,2020
6.0,4.0,3080.0,1.0,39.35,2024
4.0,6.426000000000001,7494.0,1.0,32.13,2027
1.0,5.84,4200.0,1.0,29.2,2027
15.0,6.199999999999999,3800.0,1.0,21.2,2013
8.0,5.0,4200.0,1.0,22.7,2017
1.0,5.0,4899.0,1.0,27.4,2026
14.0,4.100000000000001,4300.0,1.0,26.1,2024
16.0,4.0,2299.0,1.0,19.0,2013
1.0,20.56,6661.0,1.0,35.86,2027
3.0,8.0,4350.0,1.0,33.0,2022
13.0,5.0,4700.0,1.0,33.9,2018
5.0,5.0,4666.0,1.0,25.72,2026
2.0,7.0,3350.0,1.0,39.0,2023
8.0,4.0,3900.0,1.0,29.2,2023
15.0,5.1,4676.0,1.0,30.5,2027
2.0,4.0,2850.0,1.0,24.0,2016
12.0,3.3,3350.0,1.0,25.0,2021
18.0,5.338000000000001,5800.0,1.0,26.69,2023
14.0,12.600000000000001,3950.0,1.0,27.3,2017
4.0,16.200000000000003,5400.0,1.0,44.7,2015
19.0,4.1,6803.0,1.0,25.3,2028
14.0,7.600000000000001,3500.0,1.0,21.6,2013
2.0,6.04,7000.0,1.0,30.2,2026
8.0,5.0,5155.0,1.0,28.18,2026
5.0,6.300000000000001,3600.0,1.0,27.3,2021
9.0,4.0,3950.0,1.0,22.4,2013
11.0,3.98,4700.0,1.0,19.9,2026
8.0,8.0,4200.0,1.0,27.6,2017
1.0,5.640000000000001,5900.0,1.0,28.2,2028
15.0,5.0,3500.0,1.0,26.0,2023
2.0,5.98,6580.0,1.0,29.9,2028
9.0,4.0,4650.0,1.0,27.0,2015
3.0,17.02,6230.0,1.0,30.32,2027
12.0,5.0,5000.0,1.0,36.0,2015
20.0,4.1,5160.0,1.0,25.84,2026
9.0,8.0,3300.0,1.0,25.0,2024
3.0,6.968000000000001,8171.0,1.0,34.84,2027
3.0,6.6000000000000005,2870.0,1.0,33.0,2020
3.0,5.0,5100.0,1.0,29.0,2026
1.0,16.51,6800.0,1.0,32.21,2027
2.0,3.0,5049.0,1.0,23.5,2024
18.0,3.8,5830.0,1.0,32.41,2026
1.0,5.0,5540.0,1.0,37.5,2025
3.0,4.14,4610.0,1.0,20.7,2028
5.0,4.0,2370.0,1.0,20.0,2017
13.0,5.032,7540.0,1.0,25.16,2026
1.0,4.699999999999999,2400.0,1.0,19.7,2017
12.0,6.740000000000001,4000.0,1.0,33.7,2021
12.0,4.558,5690.0,1.0,22.79,2026
7.0,5.0,5650.0,1.0,21.1,2024
7.0,4.260000000000001,5650.0,1.0,21.3,2025
13.0,5.0200000000000005,5750.0,1.0,25.1,2024
15.0,8.0,5750.0,1.0,37.2,2020
3.0,4.0,5780.0,1.0,26.88,2022
7.0,3.0,5790.0,1.0,28.2,2018
6.0,6.0600000000000005,5800.0,1.0,30.3,2020
13.0,3.0,5800.0,1.0,21.5,2007
11.0,7.5,5800.0,1.0,27.8,2014
17.0,5.920000000000001,5850.0,1.0,29.6,2016
15.0,3.0,5875.0,1.0,23.5,2026
17.0,5.0,5870.0,1.0,31.1,2019
14.0,17.0,5900.0,1.0,34.0,2012
13.0,4.4799999999999995,5900.0,1.0,22.4,2021
6.0,4.9,5999.0,1.0,24.5,2020
7.0,5.0,5950.0,1.0,25.0,2007
3.0,8.5,6000.0,1.0,26.5,2024
14.0,5.3,6000.0,1.0,25.26,2025
16.0,5.0,6000.0,1.0,28.3,2022
11.0,5.04,6000.0,1.0,25.2,2025
4.0,7.0,6050.0,1.0,35.0,2021
2.0,5.0,6100.0,1.0,27.7,2022
17.0,5.0,6100.0,1.0,30.0,2025
14.0,5.0,6100.0,1.0,25.0,2020
3.0,4.0,6250.0,1.0,27.7,2002
20.0,9.0,6300.0,1.0,27.5,2007
23.0,4.1,6300.0,1.0,28.4,2021
13.0,13.0,6350.0,1.0,28.0,2007
7.0,5.0,6450.0,1.0,26.8,2022
10.0,8.0,6490.0,1.0,59.0,2020
9.0,4.0,6440.0,1.0,27.2,2023
18.0,5.0,6400.0,1.0,26.9,2020
23.0,5.0,6500.0,1.0,32.45,2019
3.0,5.018000000000001,6500.0,1.0,25.09,2026
8.0,3.6,6500.0,1.0,29.8,2020
10.0,11.1,6500.0,1.0,27.0,2025
15.0,5.0,6550.0,1.0,29.0,2022
24.0,5.0,6550.0,1.0,29.9,2026
19.0,5.0,6555.0,1.0,38.4,2018
11.0,3.0,6700.0,1.0,26.6,2023
10.0,5.18,6700.0,1.0,25.9,2014
9.0,5.2,6700.0,1.0,30.3,2024
3.0,6.0,6850.0,1.0,34.2,2018
14.0,8.08,6850.0,1.0,40.4,2022
5.0,5.4,6800.0,1.0,27.0,2015
3.0,5.0,6900.0,1.0,36.6,2018
17.0,6.0,6900.0,1.0,56.0,2019
8.0,5.3,6900.0,1.0,32.6,2016
24.0,14.0,7000.0,1.0,36.0,2017
6.0,3.0,7000.0,1.0,27.6,2020
2.0,5.0,7000.0,1.0,35.6,2009
5.0,3.0,7230.0,1.0,30.2,2024
22.0,6.2,7199.0,1.0,31.2,2024
22.0,5.0,7200.0,1.0,33.8,2017
4.0,9.0,7400.0,1.0,37.7,2017
21.0,4.0,7500.0,1.0,22.7,2022
18.0,4.0,7800.0,1.0,34.2,2002
2.0,7.0,7955.0,1.0,43.2,2020
6.0,7.5,8100.0,1.0,51.9,2023
20.0,10.0,8550.0,1.0,38.0,2020
5.0,7.5,8600.0,1.0,51.6,2023
23.0,4.1,8650.0,1.0,30.0,2017
6.0,5.8,8900.0,1.0,59.34,2025
22.0,9.0,9200.0,1.0,36.0,2022
10.0,7.9,9500.0,1.0,39.5,2026
4.0,12.0,9500.0,1.0,60.0,2026
10.0,11.0,10500.0,1.0,55.2,2025
14.0,10.0,10899.0,1.0,42.0,2015
12.0,19.0,12000.0,1.0,49.0,2017
9.0,2.9,12300.0,1.0,31.0,2023
14.0,27.0,12400.0,1.0,135.0,2019
7.0,3.0,12500.0,1.0,53.5,2022
20.0,19.0,12500.0,1.0,49.0,2017
8.0,45.7,18500.0,1.0,117.2,2017
4.0,35.0,28500.0,1.0,186.9,1999
8.0,25.0,49000.0,1.0,130.0,2007
5.0,0.0,1680.0,1.0,20.1,1960
1.0,5.0,1680.0,1.0,24.97,2025
3.0,3.0,1750.0,1.0,16.5,1989
3.0,1.0,1760.0,1.0,14.3,2011
1.0,6.0,1799.0,1.0,18.0,2017
1.0,2.0,1800.0,1.0,15.0,2012
10.0,5.0,1870.0,1.0,39.35,2027
7.0,5.0,1860.0,1.0,32.47,2023
14.0,3.3,1899.0,1.0,19.4,2012
3.0,7.0,1855.0,1.0,17.0,2012
3.0,3.0,1999.0,1.0,18.0,1970
3.0,3.0,1990.0,1.0,20.0,2011
4.0,5.0,2000.0,1.0,18.0,1988
10.0,4.0,2000.0,1.0,24.97,2025
1.0,2.0,2000.0,1.0,23.0,1990
5.0,10.75,2000.0,1.0,39.35,2027
5.0,3.0,2050.0,1.0,39.0,2027
2.0,3.0,2050.0,1.0,16.0,1989
3.0,5.0,2050.0,1.0,33.0,2023
15.0,6.6,2100.0,1.0,19.6,2012
3.0,4.0,2100.0,1.0,23.8,2001
3.0,5.0,2100.0,1.0,39.02,2027
17.0,5.0,2100.0,1.0,25.0,2025
1.0,4.0,2190.0,1.0,19.4,2015
6.0,5.0,2170.0,1.0,25.0,2025
1.0,5.16,2150.0,1.0,25.8,1958
1.0,6.399999999999999,2200.0,1.0,22.4,2011
2.0,3.0,2200.0,1.0,25.0,1968
3.0,4.0,2200.0,1.0,17.0,1989
4.0,3.0,2200.0,1.0,19.1,2015
14.0,3.0,2200.0,1.0,21.1,2012
1.0,6.0,2200.0,1.0,30.8,2017
3.0,4.0,2235.0,1.0,24.4,1968
4.0,3.0,2200.0,1.0,15.0,1998
5.0,4.0,2200.0,1.0,20.0,2013
6.0,4.0,2200.0,1.0,19.4,2014
5.0,4.4,2200.0,1.0,39.35,2027
8.0,3.0,2260.0,1.0,19.3,2017
6.0,4.0,2250.0,1.0,19.9,2014
3.0,2.0,2269.0,1.0,17.0,1974
4.0,5.0,2280.0,1.0,30.88,2025
6.0,5.0,2290.0,1.0,24.67,2025
2.0,4.0,2260.0,1.0,24.5,1968
9.0,4.0,2280.0,1.0,19.5,2012
10.0,3.0,2300.0,1.0,19.7,2014
14.0,3.2,2300.0,1.0,19.2,2014
2.0,3.0,2300.0,1.0,19.4,2014
7.0,4.0,2300.0,1.0,18.0,2011
6.0,3.0,2300.0,1.0,20.0,2013
13.0,5.0,2320.0,1.0,25.0,2025
1.0,2.0,2300.0,1.0,15.0,2022
7.0,5.0,2300.0,1.0,33.58,2023
7.0,14.0,2300.0,1.0,39.0,2026
1.0,5.0,2350.0,1.0,17.9,1938
5.0,3.0,2380.0,1.0,17.5,2024
2.0,3.0,2350.0,1.0,21.4,2018
10.0,0.0,2390.0,1.0,19.3,2015
4.0,8.0,2400.0,1.0,18.8,2012
3.0,3.0,2400.0,1.0,19.8,2016
9.0,4.0,2400.0,1.0,19.1,2015
3.0,3.5,2400.0,1.0,17.4,1972
15.0,4.100000000000001,2400.0,1.0,18.1,2013
2.0,5.0,2480.0,1.0,21.0,2016
16.0,4.0,2450.0,1.0,22.0,2012
4.0,3.0,2480.0,1.0,18.0,1964
15.0,5.0,2480.0,1.0,24.7,2023
2.0,2.0,2500.0,1.0,19.4,2014
8.0,4.0,2530.0,1.0,20.0,2013
16.0,3.0,2500.0,1.0,20.4,2011
10.0,3.0,2500.0,1.0,19.5,2023
16.0,5.0,2530.0,1.0,22.2,2012
3.0,7.0,2520.0,1.0,31.0,2013
13.0,3.0,2500.0,1.0,22.0,2013
13.0,3.6,2500.0,1.0,18.0,2013
4.0,3.6,2500.0,1.0,18.0,2017
13.0,4.0,2500.0,1.0,20.0,2017
6.0,9.599999999999998,2500.0,1.0,19.4,2023
1.0,5.0,2500.0,1.0,25.0,1940
5.0,0.0,2500.0,1.0,18.9,1994
3.0,5.0,2590.0,1.0,34.0,2010
8.0,5.0,2590.0,1.0,21.0,2016
5.0,4.5600000000000005,2550.0,1.0,22.8,2017
2.0,6.600000000000001,2570.0,1.0,20.6,2015
4.0,4.5,2550.0,1.0,19.5,2013
17.0,8.399999999999999,2590.0,1.0,23.4,2013
4.0,4.1000000000000005,2580.0,1.0,20.5,2013
2.0,6.0,2600.0,1.0,18.0,2017
2.0,3.0,2600.0,1.0,31.0,2017
16.0,3.0,2600.0,1.0,22.5,2013
3.0,4.0,2600.0,1.0,24.0,2017
2.0,4.16,2600.0,1.0,20.8,2016
5.0,4.0,2600.0,1.0,20.0,2017
3.0,10.0,2670.0,1.0,17.8,1979
2.0,10.0,2650.0,1.0,27.0,1968
9.0,3.0,2680.0,1.0,22.0,2018
5.0,3.0,2650.0,1.0,22.0,2018
7.0,4.0,2700.0,1.0,20.7,2015
14.0,3.6,2700.0,1.0,23.8,2013
7.0,5.0,2700.0,1.0,33.0,2024
13.0,5.0,2700.0,1.0,26.0,2013
10.0,3.0,2745.0,1.0,20.0,2013
9.0,5.0,2700.0,1.0,22.3,2015
16.0,2.0,2740.0,1.0,25.0,2013
3.0,4.2,2700.0,1.0,21.0,2017
11.0,3.6200000000000006,2750.0,1.0,18.1,2024
5.0,3.0,2750.0,1.0,13.0,1958
5.0,11.600000000000001,2750.0,1.0,29.6,1994
3.0,5.0,2750.0,1.0,14.9,1944
6.0,5.0,2750.0,1.0,33.58,2025
6.0,5.0,2750.0,1.0,33.0,2020
10.0,5.0,2780.0,1.0,33.5,2020
12.0,4.0,2790.0,1.0,26.0,2015
3.0,2.9800000000000004,2750.0,1.0,14.9,1944
3.0,6.0,2800.0,1.0,21.0,2016
5.0,4.6,2800.0,1.0,22.4,2015
10.0,10.0,2800.0,1.0,27.7,2014
5.0,4.0,2800.0,1.0,20.8,2015
2.0,3.6,2800.0,1.0,18.2,2017
2.0,7.0,2800.0,1.0,27.0,2017
3.0,3.0,2850.0,1.0,33.58,2026
3.0,5.6,2850.0,1.0,35.3,2012
4.0,5.0,2850.0,1.0,32.47,2025
9.0,3.0,2890.0,1.0,16.5,1981
8.0,5.0,2880.0,1.0,39.02,2024
2.0,3.0,2855.0,1.0,24.2,1970
4.0,5.0,2850.0,1.0,33.0,2020
6.0,5.0,2900.0,1.0,24.0,2015
4.0,6.0,2900.0,1.0,21.0,2024
