accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;SD Group ( НСК );developer;sale;Дзержинский;15;17;7;Новосибирск;5521880;Промышленная 7;1;Промышленная ;25.9;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/320615205/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Этажи;real_estate_agent;sale;Первомайский;6;17;22/6;Новосибирск;2250000;Берёзовое;1; Твардовского;19.6;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/323377495/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Этажи;real_estate_agent;sale;Первомайский;8;18;1/11;Новосибирск;2400000;Берёзовое;1; Одоевского;21.2;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/319716264/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Баутехник;developer;sale;Октябрьский;11;12;с24;Новосибирск;5490000;Апартаменты Apartville на Кошурникова;-1; Кошурникова;26.23;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/318423811/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;METRAGE;real_estate_agent;sale;Кировский;1;3;1;Новосибирск;2400000;Художник;1; Николая Грицюка;23.5;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/320726792/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;DOMaSTROY;real_estate_agent;sale;Кировский;2;3;18/2;Новосибирск;2200000;;1;Рубежная ;24.9;Студенческая;https://novosibirsk.cian.ru/sale/flat/322683913/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;SIBWILL;real_estate_agent;sale;Заельцовский;15;30;;Новосибирск;7000000;Расцветай на Красном ЖК;1;;28.2;Заельцовская;https://novosibirsk.cian.ru/sale/flat/325710475/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Этажи;real_estate_agent;sale;Калининский;4;5;6А;Новосибирск;2500000;;-1; Сухановская;18.0;Заельцовская;https://novosibirsk.cian.ru/sale/flat/325464375/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;ID 138826067;homeowner;sale;Ленинский;8;13;69/1;Новосибирск;4500000;;1;69/1;25.8;Студенческая;https://novosibirsk.cian.ru/sale/flat/326261154/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;SIBWILL;real_estate_agent;sale;Калининский;11;17;;Новосибирск;4400000;Квартал на Игарской;1;На Игарской кв-л;29.2;Заельцовская;https://novosibirsk.cian.ru/sale/flat/325711334/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Всем Квартиру;real_estate_agent;sale;Кировский;1;3;12/1;Новосибирск;2550000;;1;Рубежная ;27.4;Студенческая;https://novosibirsk.cian.ru/sale/flat/303321985/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Владис Центральное;real_estate_agent;sale;Кировский;4;17;9;Новосибирск;2400000;Тулинское;1; Виктора Уса;19.7;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/327028126/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Этажи;real_estate_agent;sale;Кировский;7;10;103;Новосибирск;2750000;Матрешкин двор;1; Петухова;20.7;Студенческая;https://novosibirsk.cian.ru/sale/flat/325119998/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;СТАН;real_estate_agent;sale;Октябрьский;8;10;;Новосибирск;2400000;Плющихинский;1;Плющихинский жилмассив;39.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/319124266/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Брусника;developer;sale;Дзержинский;7;9;;Новосибирск;7550000;Город-на-озере ЖК;1;;31.71;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/324800935/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Домофонд;real_estate_agent;sale;Октябрьский;5;10;143/9;Новосибирск;2800000;Плющихинский;1; В. Высоцкого;39.02;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/301501475/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Новый Мир;developer;sale;Железнодорожный;11;16;;Новосибирск;6850000;Беринг;1;Беринг жилой квартал;28.17;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/324817938/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Этажи;real_estate_agent;sale;Ленинский;7;18;37;Новосибирск;2800000;Чистая слобода;1;Спортивная ;18.2;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/322570870/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Квартирный портал;real_estate_agent;sale;Кировский;2;3;4/1;Новосибирск;2500000;;1;Воскресная ;28.0;Студенческая;https://novosibirsk.cian.ru/sale/flat/325856239/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;ПОЛЯКОВ;developer;sale;Заельцовский;8;25;236;Новосибирск;7200000;Клубный комплекс ;1;Красный проспект;37.4;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326353226/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
