accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;ЖИЛФОНД;real_estate_agent;sale;Заельцовский;3;9;64;Новосибирск;5300000;;2;Переездная ;42.4;Заельцовская;https://novosibirsk.cian.ru/sale/flat/321137094/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Кировский;11;17;4;Новосибирск;5300000;;2; Виктора Уса;46.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/325089441/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;МакроМир;real_estate_agent;sale;Октябрьский;7;9;43;Новосибирск;5300000;Плющихинский;2; Татьяны Снежиной;57.9;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/326275444/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Astron Estate;real_estate_agent;sale;Ленинский;5;9;22;Новосибирск;5300000;;2;Троллейная ;44.2;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/315194081/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;СТАН;real_estate_agent;sale;Октябрьский;2;10;9/4;Новосибирск;5300000;Плющихинский;2; Виталия Потылицына;64.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/306535361/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;НСК-top;real_estate_agent;sale;Заельцовский;4;5;183Б;Новосибирск;5300000;;2; Дуси Ковальчук;42.8;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326527545/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;METRAGE;real_estate_agent;sale;Заельцовский;3;5;2;Новосибирск;5300000;;2;Рельсовая ;44.2;Гагаринская;https://novosibirsk.cian.ru/sale/flat/323368268/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Владис Центральное;real_estate_agent;sale;Октябрьский;2;3;27/7;Новосибирск;5300000;;2;Родниковая ;59.2;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/319238659/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Вместе;real_estate_agent;sale;Октябрьский;8;10;41;Новосибирск;5300000;Плющихинский;2; Татьяны Снежиной;58.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/319238952/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;СФЕРА-НСК;real_estate_agent;sale;Ленинский;5;5;6;Новосибирск;5300000;;2; Пархоменко;54.6;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/324931927/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;PRO Недвижимость;real_estate_agent;sale;Ленинский;2;9;20;Новосибирск;5300000;;2;Троллейная ;44.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/325875640/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;РиэлтПрофи;real_estate_agent;sale;Советский;4;5;45;Новосибирск;5300000;;2; Иванова;43.1;;https://novosibirsk.cian.ru/sale/flat/321641292/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Наш регион;real_estate_agent;sale;Октябрьский;14;17;99/4;Новосибирск;5300000;;2;Выборная ;48.6;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/317547974/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;АктивНедвижимость;real_estate_agent;sale;Ленинский;9;17;25/1;Новосибирск;5300000;КрымSKY;2; Пархоменко;39.3;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/313773436/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Агент Pro;real_estate_agent;sale;Октябрьский;4;10;45/2;Новосибирск;5300000;Плющихинский;2; Татьяны Снежиной;55.1;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/325209475/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Планета;real_estate_agent;sale;Железнодорожный;4;5;32;Новосибирск;5300000;;2; Ленина;45.0;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/325433274/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Лучший ДОМ;real_estate_agent;sale;Центральный;4;5;45;Новосибирск;5300000;;2; Гоголя;46.3;Маршала Покрышкина;https://novosibirsk.cian.ru/sale/flat/326631960/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Калининский;7;9;6;Новосибирск;5350000;;2; Менделеева;44.4;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325328291/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Планета-А;real_estate_agent;sale;Ленинский;5;5;3;Новосибирск;5399000;;2; Титова;45.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/321176837/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Ключи;real_estate_agent;sale;Первомайский;16;16;37;Новосибирск;5350000;Весенний;2; Заречная;37.0;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/323301972/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
