accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;СМСС;developer;sale;Дзержинский;1;22;;Новосибирск;13435500;Паскаль;3; 5-я Кирпичная Горка;68.9;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325989205/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;26;29;77;Новосибирск;32000000;Чикаго;4;Московская ;128.72;Октябрьская;https://novosibirsk.cian.ru/sale/flat/318545609/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Центральный;5;5;47;Новосибирск;4900000;;1; Крылова;29.0;Маршала Покрышкина;https://novosibirsk.cian.ru/sale/flat/325854319/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Заельцовский;4;12;1/4;Новосибирск;9840000;Лебедевский;2;Лебедевский кв-л;82.9;Заельцовская;https://novosibirsk.cian.ru/sale/flat/314017621/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Дом Профи;real_estate_agent;sale;Ленинский;18;20;43;Новосибирск;7770000;VESNA;3; Ясный Берег;46.5;Октябрьская;https://novosibirsk.cian.ru/sale/flat/322465676/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Центральный;2;5;66;Новосибирск;4969000;;1; Демьяна Бедного;32.2;Маршала Покрышкина;https://novosibirsk.cian.ru/sale/flat/321643423/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Страна Девелопмент;developer;sale;Заельцовский;23;29;109/2;Новосибирск;9764706;Страна Береговая;2;Сухарная ;37.68;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/326663784/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;METRAGE;real_estate_agent;sale;Заельцовский;8;16;2;Новосибирск;27000000;;3;Кавалерийская ;127.4;Заельцовская;https://novosibirsk.cian.ru/sale/flat/327061599/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;16;24;14;Новосибирск;4990000;Freedom;1;Большевистская ;21.01;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/326344669/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Заельцовский;1;14;90;Новосибирск;12000000;Авиатор;1; Аэропорт;73.09;Заельцовская;https://novosibirsk.cian.ru/sale/flat/310160752/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
